D2,D3,D4,D5,D6,BI1,BI2,BI3,BI4,BI5,PE1,PE2,PE3,PE4,PE5,PE6,SN1,SN2,SN3,SN4,SN5,SN6,SN7,A1,A2,A3,A4,A5,A6,A7,B1,B2,B3,B4,B5,Column
1997,Vrouw,WO Master,Den Bosch,Landelijk,Oneens,Neutraal,Neutraal,Neutraal,Neutraal,Eens,Neutraal,Eens,Neutraal,Eens,Neutraal,Neutraal,Neutraal,Neutraal,Neutraal,Neutraal,Neutraal,Neutraal,Eens,Eens,Eens,Eens,Neutraal,Neutraal,Neutraal,Neutraal,Neutraal,Neutraal,Neutraal,Neutraal,5
2002,Man,HBO,Kollum,"Anders, namelijk",Neutraal,Eens,Neutraal,Eens,Eens,Helemaal eens,Eens,Eens,Eens,Neutraal,Eens,Eens,Eens,Neutraal,Eens,Neutraal,Eens,Neutraal,Eens,Eens,Eens,Neutraal,Eens,Eens,Eens,Eens,Neutraal,Eens,Eens,Eens,5
1999,Man,WO Master,Zwolle,Stedelijk,Neutraal,Eens,Oneens,Neutraal,Eens,Eens,Neutraal,Oneens,Eens,Eens,Neutraal,Neutraal,Eens,Eens,Oneens,Oneens,Eens,Eens,Eens,Eens,Eens,Eens,Neutraal,Neutraal,Eens,Eens,Oneens,Eens,Neutraal,Oneens,5
2003,Man,HBO,Arnhem,Stedelijk,Neutraal,Helemaal eens,Oneens,Neutraal,Helemaal eens,Neutraal,Oneens,Helemaal oneens,Helemaal eens,Oneens,Eens,Oneens,Eens,Eens,Eens,Neutraal,Eens,Oneens,Helemaal Eens,Neutraal,Oneens,Helemaal Eens,Eens,Eens,Neutraal,Helemaal Eens,Eens,Eens,Neutraal,Eens,5
2002,Vrouw,HBO,Appelscha,Landelijk,Neutraal,Eens,Neutraal,Neutraal,Eens,,,,,,,,,,,,,,,,,,,,,,,,,,5
2002,Vrouw,HBO,Assen,Stedelijk,Eens,Helemaal eens,Oneens,Oneens,Oneens,Eens,Eens,Oneens,Neutraal,Eens,Eens,Eens,Eens,Neutraal,Oneens,Oneens,Oneens,Oneens,Eens,Helemaal eens,Oneens,Oneens,Oneens,Eens,Eens,Oneens,Neutraal,Eens,Eens,Eens,5
1998,Vrouw,WO Master,Den Bosch,Stedelijk,Neutraal,Eens,Neutraal,Neutraal,Neutraal,Eens,Neutraal,Neutraal,Neutraal,Eens,Eens,Neutraal,Neutraal,Neutraal,Neutraal,Neutraal,Neutraal,Neutraal,Eens,Eens,Neutraal,Eens,Eens,Eens,Eens,Neutraal,Neutraal,Eens,Neutraal,Eens,5
1996,Vrouw,WO Master,,Landelijk,Neutraal,Oneens,Oneens,Neutraal,Neutraal,Helemaal eens,Oneens,Neutraal,Neutraal,Helemaal eens,Neutraal,Oneens,Helemaal eens,Helemaal eens,Oneens,Helemaal oneens,Neutraal,Neutraal,Eens,Eens,Neutraal,Oneens,Eens,Eens,Eens,Neutraal,Neutraal,Eens,Neutraal,Eens,5
2002,Man,HBO,Buitenpost,"Anders, namelijk",Helemaal oneens,Helemaal eens,Neutraal,Neutraal,Neutraal,Eens,Oneens,Eens,Oneens,Oneens,Eens,Oneens,Oneens,Eens,Oneens,Oneens,Eens,Oneens,Eens,Eens,Neutraal,Eens,Eens,Eens,Oneens,Oneens,Oneens,Eens,Oneens,Oneens,5
2004,Vrouw,HBO,Stedelijk,Stedelijk,Eens,Eens,Eens,Eens,Oneens,Oneens,Oneens,Eens,Helemaal Eens,Neutraal,Eens,Eens,Eens,Eens,Oneens,Oneens,Oneens,Eens,Eens,Eens,Eens,Oneens,Oneens,Oneens,Eens,Helemaal Eens,Neutraal,Eens,Eens,Eens,5
2003,Man,WO Master,Groningen,Stedelijk,Eens,Helemaal eens,Neutraal,Eens,Eens,Neutraal,Eens,Eens,Eens,Neutraal,Neutraal,Oneens,Eens,Eens,Oneens,Neutraal,Oneens,Oneens,Neutraal,Eens,Eens,Eens,Neutraal,Neutraal,Oneens,Eens,Oneens,Helemaal Eens,Eens,Neutraal,5
2003,Vrouw,HBO,Enschede,Stedelijk,Helemaal oneens,Helemaal eens,Helemaal oneens,Helemaal oneens,Eens,Helemaal Eens,Eens,Oneens,Eens,Eens,Oneens,Helemaal Eens,Eens,Oneens,Eens,Eens,Oneens,Helemaal Eens,Eens,Oneens,Eens,Eens,Oneens,Helemaal Eens,Eens,Oneens,Eens,Eens,Oneens,Helemaal Eens,5
2002,,HBO,,,Eens,Eens,Oneens,Oneens,Oneens,Neutraal,Eens,Eens,Oneens,Oneens,Eens,Neutraal,Eens,Eens,Oneens,Oneens,Oneens,Neutraal,Neutraal,Eens,Eens,Oneens,Oneens,Oneens,Neutraal,Eens,Eens,Oneens,Oneens,Eens,5
