D2,D3,D4,D5,D6,BI1,BI2,BI3,BI4,BI5,PE1,PE2,PE3,PE4,PE5,PE6,SN1,SN2,SN3,SN4,SN5,SN6,SN7,A1,A2,A3,A4,A5,A6,A7,B1,B2,B3,B4,B5,Column,meanA,meanB,meanBI,meanPE,meanSN,meanTotal,5,7,1,3,4,Extreme,Neutral
20,Man,WO Master,Groningen,Stedelijk,4,5,3,4,4,3,4,4,4,3,3,2,4,4,2,3,2,2,3,4,4,4,3,3,2,4,2,5,4,3,5,3.2857142857142856,3.6,4.0,3.5,2.7142857142857144,6.014285714285714,3,0,0,10,14,3.0,10.0
20,Vrouw,HBO,Enschede,Stedelijk,1,5,1,1,4,5,4,2,4,4,2,5,4,2,4,4,2,5,4,2,4,4,2,5,4,2,4,4,2,5,5,3.5714285714285716,3.4,2.4,3.5,3.7142857142857144,5.940816326530613,7,1,4,0,14,11.0,0.0
21,,HBO,,,4,4,2,2,2,3,4,4,2,2,4,3,4,4,2,2,2,3,3,4,4,2,2,2,3,4,4,2,2,4,5,2.857142857142857,3.2,2.8,3.1666666666666665,2.857142857142857,5.840136054421768,1,0,1,5,12,2.0,5.0
20,Man,WO Master,Groningen,Stedelijk,1,5,1,1,1,4,4,4,4,2,2,4,3,4,1,2,2,2,1,4,4,4,4,2,2,4,2,2,4,2,5,3.0,2.8,1.8,3.3333333333333335,2.5714285714285716,5.500680272108844,2,0,6,2,12,8.0,2.0
26,Vrouw,WO Bachelor,Groningen,Stedelijk,3,2,2,2,2,4,4,4,5,2,2,2,4,4,4,2,4,4,2,4,4,4,5,2,2,4,2,2,4,2,5,3.2857142857142856,2.8,2.2,3.5,3.4285714285714284,6.6020408163265305,3,0,0,2,13,3.0,2.0
24,Vrouw,HBO,Groningen,Stedelijk,2,3,4,4,5,4,5,5,4,3,5,5,4,5,5,4,5,5,5,4,5,5,4,3,5,5,4,5,5,5,5,4.428571428571429,4.8,3.6,4.333333333333333,4.714285714285714,7.268027210884354,18,0,0,3,9,18.0,3.0
25,,HBO,Groningen,Stedelijk,4,5,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,4.0,,,11.333333333333334,2,0,0,1,4,2.0,1.0
25,,WO Master,Groningen,Stedelijk,1,5,1,1,4,3,5,3,3,3,3,3,3,4,3,2,3,2,3,3,5,3,3,3,3,5,3,3,3,3,5,3.2857142857142856,3.4,2.4,3.3333333333333335,2.857142857142857,6.468027210884353,5,0,3,20,2,8.0,20.0
25,Man,HBO,Amsterdam,Stedelijk,2,5,2,2,2,3,2,3,4,3,4,2,5,2,2,2,3,2,3,4,3,4,2,5,2,2,2,3,2,3,5,3.2857142857142856,2.4,2.6,3.1666666666666665,2.5714285714285716,6.2891156462585025,4,0,0,8,5,4.0,8.0
26,,,,,,,,,,,,,,,,2,4,4,4,3,4,4,,,,,,,,4,2,4,4,4,5,,3.6,,,3.5714285714285716,9.542857142857143,1,0,1,1,9,2.0,1.0
26,Vrouw,WO Bachelor,Barcelona,Stedelijk,2,5,3,4,4,4,4,4,2,4,4,2,5,5,5,5,2,2,5,3,4,4,4,4,4,5,1,4,4,2,5,4.0,3.2,3.6,3.6666666666666665,3.7142857142857144,7.025850340136055,8,0,1,2,15,9.0,2.0
16,Man,WO Bachelor,Utrecht,Stedelijk,4,5,3,5,4,5,5,5,4,4,4,1,5,4,4,4,3,3,5,4,5,5,5,4,4,5,5,5,5,5,5,4.571428571428571,5.0,4.2,4.5,3.4285714285714284,6.1000000000000005,17,0,1,3,11,18.0,3.0
24,Vrouw,WO Master,Assen,Stedelijk,5,5,5,5,5,5,5,5,1,5,5,2,4,4,2,2,2,2,5,5,5,5,5,1,5,3,2,2,2,2,5,4.428571428571429,2.2,5.0,4.333333333333333,2.5714285714285716,6.790476190476191,18,0,2,1,2,20.0,1.0
20,Vrouw,WO Bachelor,Groningen,Stedelijk,2,5,3,2,2,4,2,4,4,2,3,2,4,3,2,2,2,2,2,2,4,2,4,4,2,5,2,4,3,2,5,2.857142857142857,3.2,2.8,3.1666666666666665,2.4285714285714284,5.636054421768707,3,0,0,5,8,3.0,5.0
22,Vrouw,HBO,Haulerwijk,Landelijk,2,5,2,3,2,4,4,3,2,3,4,3,4,4,2,2,2,2,3,2,4,4,3,2,3,5,1,2,2,2,5,3.0,2.4,2.8,3.3333333333333335,2.7142857142857144,5.892517006802721,3,0,1,9,7,4.0,9.0
20,Man,HBO,Groningen,Stedelijk,4,5,3,4,4,5,4,5,1,4,4,4,3,4,2,3,3,3,4,4,5,4,5,1,4,4,3,4,3,2,5,3.857142857142857,3.2,4.0,3.8333333333333335,3.142857142857143,6.147619047619048,6,0,2,7,15,8.0,7.0
20,Vrouw,WO Bachelor,Groningen,Stedelijk,2,4,3,2,2,4,2,3,4,3,2,2,4,3,4,2,2,2,2,2,4,2,3,4,3,2,2,4,2,2,5,2.857142857142857,2.4,2.6,3.0,2.7142857142857144,5.5102040816326525,1,0,1,7,8,2.0,7.0
21,Vrouw,WO Bachelor,Spanbroek,Landelijk,4,5,4,4,5,4,4,4,2,3,5,4,4,4,3,2,3,2,4,5,4,4,4,2,3,4,3,2,3,2,5,3.7142857142857144,2.8,4.4,3.6666666666666665,3.142857142857143,6.24625850340136,5,0,0,6,14,5.0,6.0
